,TH[V],HV[V],N[5min]
627,0.564864865,1019.87988,0.64
628,0.565765766,1020.31031,0.64
629,0.566666667,1020.740741,0.64
630,0.567567568,1021.171171,0.64
631,0.568468468,1021.601602,0.64
632,0.569369369,1022.032032,0.64
633,0.57027027,1022.462462,0.64
634,0.571171171,1022.892893,0.64
635,0.572072072,1023.323323,0.64
636,0.572972973,1023.753754,0.64
637,0.573873874,1024.184184,0.64
638,0.574774775,1024.614615,0.64
639,0.575675676,1025.045045,0.64
640,0.576576577,1025.475475,0.64
641,0.577477477,1025.905906,0.64
642,0.578378378,1026.336336,0.64
643,0.579279279,1026.766767,0.64
644,0.58018018,1027.197197,0.64
645,0.581081081,1027.627628,0.64
646,0.581981982,1028.058058,0.64
647,0.582882883,1028.488488,0.64
648,0.583783784,1028.918919,0.64
649,0.584684685,1029.349349,0.64
650,0.585585586,1029.77978,0.64
651,0.586486486,1030.21021,0.64
652,0.587387387,1030.640641,0.64
653,0.588288288,1031.071071,0.64
654,0.589189189,1031.501502,0.64
655,0.59009009,1031.931932,0.64
656,0.590990991,1032.362362,0.64
657,0.591891892,1032.792793,0.64
658,0.592792793,1033.223223,0.64
659,0.593693694,1033.653654,0.64
660,0.594594595,1034.084084,0.64
661,0.595495495,1034.514515,0.64
662,0.596396396,1034.944945,0.64
663,0.597297297,1035.375375,0.64
664,0.598198198,1035.805806,0.64
665,0.599099099,1036.236236,0.64
666,0.6,1036.666667,0.64
667,0.600900901,1037.097097,0.64
668,0.601801802,1037.527528,0.64
669,0.602702703,1037.957958,0.64
670,0.603603604,1038.388388,0.64
671,0.604504505,1038.818819,0.64
672,0.605405405,1039.249249,0.64
673,0.606306306,1039.67968,0.64
674,0.607207207,1040.11011,0.64
675,0.608108108,1040.540541,0.64
676,0.609009009,1040.970971,0.64
677,0.60990991,1041.401401,0.64
678,0.610810811,1041.831832,0.64
679,0.611711712,1042.262262,0.64
680,0.612612613,1042.692693,0.64
681,0.613513514,1043.123123,0.64
682,0.614414414,1043.553554,0.64
683,0.615315315,1043.983984,0.64
684,0.616216216,1044.414414,0.64
685,0.617117117,1044.844845,0.64
686,0.618018018,1045.275275,0.64
687,0.618918919,1045.705706,0.64
688,0.61981982,1046.136136,0.64
689,0.620720721,1046.566567,0.64
690,0.621621622,1046.996997,0.64
691,0.622522523,1047.427427,0.64
692,0.623423423,1047.857858,0.64
693,0.624324324,1048.288288,0.64
694,0.625225225,1048.718719,0.64
695,0.626126126,1049.149149,0.64
696,0.627027027,1049.57958,0.64
697,0.627927928,1050.01001,0.64
698,0.628828829,1050.44044,0.64
699,0.62972973,1050.870871,0.64
700,0.630630631,1051.301301,0.64
701,0.631531532,1051.731732,0.64
702,0.632432432,1052.162162,0.64
703,0.633333333,1052.592593,0.64
704,0.634234234,1053.023023,0.64
705,0.635135135,1053.453453,0.64
706,0.636036036,1053.883884,0.64
707,0.636936937,1054.314314,0.64
708,0.637837838,1054.744745,0.64
709,0.638738739,1055.175175,0.64
710,0.63963964,1055.605606,0.64
711,0.640540541,1056.036036,0.64
712,0.641441441,1056.466466,0.64
713,0.642342342,1056.896897,0.64
714,0.643243243,1057.327327,0.64
715,0.644144144,1057.757758,0.64
716,0.645045045,1058.188188,0.64
717,0.645945946,1058.618619,0.64
718,0.646846847,1059.049049,0.64
719,0.647747748,1059.479479,0.64
720,0.648648649,1059.90991,0.64
721,0.64954955,1060.34034,0.64
722,0.65045045,1060.770771,0.64
723,0.651351351,1061.201201,0.64
724,0.652252252,1061.631632,0.64
725,0.653153153,1062.062062,0.64
726,0.654054054,1062.492492,0.64
727,0.654954955,1062.922923,0.64
728,0.655855856,1063.353353,0.64
729,0.656756757,1063.783784,0.64
730,0.657657658,1064.214214,0.64
731,0.658558559,1064.644645,0.64
732,0.659459459,1065.075075,0.64
733,0.66036036,1065.505506,0.64
734,0.661261261,1065.935936,0.64
735,0.662162162,1066.366366,0.64
736,0.663063063,1066.796797,0.64
737,0.663963964,1067.227227,0.64
738,0.664864865,1067.657658,0.64
739,0.665765766,1068.088088,0.64
740,0.666666667,1068.518519,0.64
741,0.667567568,1068.948949,0.64
742,0.668468468,1069.379379,0.64
743,0.669369369,1069.80981,0.64
744,0.67027027,1070.24024,0.64
745,0.671171171,1070.670671,0.64
746,0.672072072,1071.101101,0.64
747,0.672972973,1071.531532,0.64
748,0.673873874,1071.961962,0.64
749,0.674774775,1072.392392,0.64
750,0.675675676,1072.822823,0.64
751,0.676576577,1073.253253,0.64
752,0.677477477,1073.683684,0.64
753,0.678378378,1074.114114,0.64
754,0.679279279,1074.544545,0.64
755,0.68018018,1074.974975,0.64
756,0.681081081,1075.405405,0.64
757,0.681981982,1075.835836,0.64
758,0.682882883,1076.266266,0.64
759,0.683783784,1076.696697,0.64
760,0.684684685,1077.127127,0.64
761,0.685585586,1077.557558,0.64
762,0.686486486,1077.987988,0.64
763,0.687387387,1078.418418,0.64
764,0.688288288,1078.848849,0.64
765,0.689189189,1079.279279,0.64
766,0.69009009,1079.70971,0.64
767,0.690990991,1080.14014,0.64
768,0.691891892,1080.570571,0.64
769,0.692792793,1081.001001,0.64
770,0.693693694,1081.431431,0.64
771,0.694594595,1081.861862,0.64
772,0.695495495,1082.292292,0.64
773,0.696396396,1082.722723,0.64
774,0.697297297,1083.153153,0.64
775,0.698198198,1083.583584,0.64
776,0.699099099,1084.014014,0.64
